company_id,year,sales,net_profit,sales_growth,profit_growth
ABB,Dec 2012,1653,145,,
ABB,Mar 2014,2276,198,37.69,36.55
ABB,Mar 2015,2289,229,0.57,15.66
ABB,Mar 2016,2614,255,14.2,11.35
ABB,Mar 2017,2903,277,11.06,8.63
ABB,Mar 2018,3298,401,13.61,44.77
ABB,Mar 2019,3679,450,11.55,12.22
ABB,Mar 2020,4093,593,11.25,31.78
ABB,Mar 2021,4310,691,5.3,16.53
ABB,Mar 2022,4913,799,13.99,15.63
ABB,Mar 2023,5349,949,8.87,18.77
ABB,Mar 2024,5849,1201,9.35,26.55
ABB,TTM,6066,1285,3.71,6.99
ADANIENSOL,Mar 2014,0,0,,
ADANIENSOL,Mar 2015,131,-7,inf,-inf
ADANIENSOL,Mar 2016,2194,368,1574.81,-5357.14
ADANIENSOL,Mar 2017,2876,416,31.08,13.04
ADANIENSOL,Mar 2018,3944,1143,37.13,174.76
ADANIENSOL,Mar 2019,7305,559,85.22,-51.09
ADANIENSOL,Mar 2020,11416,706,56.28,26.3
ADANIENSOL,Mar 2021,9926,1290,-13.05,82.72
ADANIENSOL,Mar 2022,11258,1236,13.42,-4.19
ADANIENSOL,Mar 2023,13293,1281,18.08,3.64
ADANIENSOL,Mar 2024,16607,1196,24.93,-6.64
ADANIENSOL,TTM,22099,589,33.07,-50.75
ADANIENT,Mar 2013,46375,1218,,
ADANIENT,Mar 2014,54947,2646,18.48,117.24
ADANIENT,Mar 2015,64465,2298,17.32,-13.15
ADANIENT,Mar 2016,34008,1000,-47.25,-56.48
ADANIENT,Mar 2017,36533,925,7.42,-7.5
ADANIENT,Mar 2018,35924,594,-1.67,-35.78
ADANIENT,Mar 2019,40379,506,12.4,-14.81
ADANIENT,Mar 2020,43403,1040,7.49,105.53
ADANIENT,Mar 2021,39537,1046,-8.91,0.58
ADANIENT,Mar 2022,69420,788,75.58,-24.67
ADANIENT,Mar 2023,127540,2422,83.72,207.36
ADANIENT,Mar 2024,96421,3335,-24.4,37.7
ADANIENT,TTM,102311,6086,6.11,82.49
ADANIGREEN,Mar 2017,502,-47,,
ADANIGREEN,Mar 2018,1480,-138,194.82,193.62
ADANIGREEN,Mar 2019,2058,-475,39.05,244.2
ADANIGREEN,Mar 2020,2549,-68,23.86,-85.68
ADANIGREEN,Mar 2021,3124,182,22.56,-367.65
ADANIGREEN,Mar 2022,5133,489,64.31,168.68
ADANIGREEN,Mar 2023,7776,973,51.49,98.98
ADANIGREEN,Mar 2024,9220,1260,18.57,29.5
ADANIGREEN,TTM,10782,1928,16.94,53.02
ADANIPORTS,Mar 2013,3577,1639,,
ADANIPORTS,Mar 2013,3577,1639,0.0,0.0
ADANIPORTS,Mar 2014,4830,1741,35.03,6.22
ADANIPORTS,Mar 2014,4830,1741,0.0,0.0
ADANIPORTS,Mar 2015,6152,2324,27.37,33.49
ADANIPORTS,Mar 2015,6152,2324,0.0,0.0
ADANIPORTS,Mar 2016,7109,2856,15.56,22.89
ADANIPORTS,Mar 2016,7109,2856,0.0,0.0
ADANIPORTS,Mar 2017,8439,3902,18.71,36.62
ADANIPORTS,Mar 2017,8439,3902,0.0,0.0
ADANIPORTS,Mar 2018,11323,3690,34.17,-5.43
ADANIPORTS,Mar 2018,11323,3690,0.0,0.0
ADANIPORTS,Mar 2019,10925,4045,-3.51,9.62
ADANIPORTS,Mar 2019,10925,4045,0.0,0.0
ADANIPORTS,Mar 2020,11873,3785,8.68,-6.43
ADANIPORTS,Mar 2020,11873,3785,0.0,0.0
ADANIPORTS,Mar 2021,12550,5049,5.7,33.39
ADANIPORTS,Mar 2021,12550,5049,0.0,0.0
ADANIPORTS,Mar 2022,17119,4953,36.41,-1.9
ADANIPORTS,Mar 2022,17119,4953,0.0,0.0
ADANIPORTS,Mar 2023,20852,5391,21.81,8.84
ADANIPORTS,Mar 2023,20852,5391,0.0,0.0
ADANIPORTS,Mar 2024,26711,8104,28.1,50.32
