company_id,year,borrowings,reserves,equity_capital,debt_to_equity
ABB,Dec 2012,0,626,21.0,0.0
ABB,Mar 2014,0,767,21.0,0.0
ABB,Mar 2015,0,916,21.0,0.0
ABB,Mar 2016,0,1174,21.0,0.0
ABB,Mar 2017,0,1366,21.0,0.0
ABB,Mar 2018,0,1672,21.0,0.0
ABB,Mar 2019,0,1987,21.0,0.0
ABB,Mar 2020,175,2410,21.0,0.07
ABB,Mar 2021,153,2581,21.0,0.06
ABB,Mar 2022,152,2799,21.0,0.05
ABB,Mar 2023,113,3167,21.0,0.04
ABB,Mar 2024,83,3678,21.0,0.02
ABB,Sep 2024,60,3500,21.0,0.02
ADANIENSOL,Mar 2014,0,0,0.1,0.0
ADANIENSOL,Mar 2015,9701,-7,1090.0,8.96
ADANIENSOL,Mar 2016,8585,1572,1100.0,3.21
ADANIENSOL,Mar 2017,8975,1847,1100.0,3.05
ADANIENSOL,Mar 2018,10428,4957,1100.0,1.72
ADANIENSOL,Mar 2019,20137,6943,1100.0,2.5
ADANIENSOL,Mar 2020,24246,7399,1100.0,2.85
ADANIENSOL,Mar 2021,27095,7819,1100.0,3.04
ADANIENSOL,Mar 2022,29902,8813,1100.0,3.02
ADANIENSOL,Mar 2023,34270,10634,1115.0,2.92
ADANIENSOL,Mar 2024,37070,11526,1115.0,2.93
ADANIENSOL,Sep 2024,39009,19784,1201.0,1.86
ADANIENT,Mar 2013,69332,21286,110.0,3.24
ADANIENT,Mar 2014,71980,23647,110.0,3.03
ADANIENT,Mar 2015,83571,25618,110.0,3.25
ADANIENT,Mar 2016,19169,13268,110.0,1.43
ADANIENT,Mar 2017,20846,14026,110.0,1.47
ADANIENT,Mar 2018,17637,14979,110.0,1.17
ADANIENT,Mar 2019,11243,14646,110.0,0.76
ADANIENT,Mar 2020,12419,16837,110.0,0.73
ADANIENT,Mar 2021,16227,17049,110.0,0.95
ADANIENT,Mar 2022,41604,22147,110.0,1.87
ADANIENT,Mar 2023,53200,32937,114.0,1.61
ADANIENT,Mar 2024,65310,38962,114.0,1.67
ADANIENT,Sep 2024,80427,41782,114.0,1.92
ADANIGREEN,Mar 2017,4347,-71,1274.0,3.61
ADANIGREEN,Mar 2018,9864,-223,1564.0,7.36
ADANIGREEN,Mar 2019,11142,369,1564.0,5.76
ADANIGREEN,Mar 2020,14866,793,1564.0,6.31
ADANIGREEN,Mar 2021,24209,636,1564.0,11.0
ADANIGREEN,Mar 2022,52832,1050,1564.0,20.21
ADANIGREEN,Mar 2023,54223,5720,1584.0,7.42
ADANIGREEN,Mar 2024,64858,8250,1584.0,6.6
ADANIGREEN,Sep 2024,67430,8992,1584.0,6.38
ADANIPORTS,Mar 2013,11620,5993,401.0,1.82
ADANIPORTS,Mar 2014,12979,8351,414.0,1.48
ADANIPORTS,Mar 2015,17776,10351,414.0,1.65
ADANIPORTS,Mar 2016,22342,13091,414.0,1.65
ADANIPORTS,Mar 2017,22214,17112,414.0,1.27
ADANIPORTS,Mar 2018,22370,20489,414.0,1.07
ADANIPORTS,Mar 2019,27712,23958,414.0,1.14
ADANIPORTS,Mar 2020,30242,25051,406.0,1.19
ADANIPORTS,Mar 2021,35855,30035,406.0,1.18
ADANIPORTS,Mar 2022,47935,41399,422.0,1.15
ADANIPORTS,Mar 2023,53434,44957,432.0,1.18
ADANIPORTS,Mar 2024,49470,52346,432.0,0.94
ADANIPORTS,Sep 2024,50485,56744,432.0,0.88
ADANIPOWER,Mar 2013,41795,1900,2393.0,9.74
ADANIPOWER,Mar 2014,44150,3671,2872.0,6.75
ADANIPOWER,Mar 2015,44742,2853,2872.0,7.82
ADANIPOWER,Mar 2016,52729,4134,3334.0,7.06
ADANIPOWER,Mar 2017,52484,-857,3857.0,17.49
ADANIPOWER,Mar 2018,52835,-2968,3857.0,59.43
ADANIPOWER,Mar 2019,46980,3855,3857.0,6.09
ADANIPOWER,Mar 2020,55199,2624,3857.0,8.52
ADANIPOWER,Mar 2021,52519,9256,3857.0,4.01
ADANIPOWER,Mar 2022,49145,14600,3857.0,2.66
ADANIPOWER,Mar 2023,42350,26019,3857.0,1.42
ADANIPOWER,Mar 2024,34616,39288,3857.0,0.8
ADANIPOWER,Sep 2024,37705,52097,3857.0,0.67
AMBUJACEM,Dec 2012,60,8489,308.0,0.01
AMBUJACEM,Dec 2013,48,9153,309.0,0.01
AMBUJACEM,Dec 2014,34,9760,310.0,0.0
AMBUJACEM,Dec 2015,35,9961,310.0,0.0
AMBUJACEM,Dec 2016,29,19424,397.0,0.0
AMBUJACEM,Dec 2017,24,20275,397.0,0.0
AMBUJACEM,Dec 2018,40,21973,397.0,0.0
AMBUJACEM,Dec 2019,41,23681,397.0,0.0
AMBUJACEM,Dec 2020,471,22360,397.0,0.02
AMBUJACEM,Dec 2021,477,24957,397.0,0.02
AMBUJACEM,Mar 2023,523,31301,397.0,0.02
AMBUJACEM,Mar 2024,699,41016,440.0,0.02
AMBUJACEM,Sep 2024,779,49883,493.0,0.02
APOLLOHOSP,Mar 2013,1213,2677,70.0,0.44
APOLLOHOSP,Mar 2014,1344,2907,70.0,0.45
APOLLOHOSP,Mar 2015,1992,3102,70.0,0.63
APOLLOHOSP,Mar 2016,2834,3262,70.0,0.85
APOLLOHOSP,Mar 2017,3125,3244,70.0,0.94
APOLLOHOSP,Mar 2018,3427,3182,70.0,1.05
APOLLOHOSP,Mar 2019,3673,3264,70.0,1.1
APOLLOHOSP,Mar 2020,3596,3270,70.0,1.08
APOLLOHOSP,Mar 2021,4160,4531,72.0,0.9
APOLLOHOSP,Mar 2022,4068,5551,72.0,0.72
APOLLOHOSP,Mar 2023,4332,6126,72.0,0.7
APOLLOHOSP,Mar 2024,5333,6864,72.0,0.77
APOLLOHOSP,Sep 2024,7371,7429,72.0,0.98
ASIANPAINT,Mar 2013,251,3288,96.0,0.07
ASIANPAINT,Mar 2014,249,3943,96.0,0.06
ASIANPAINT,Mar 2015,418,4646,96.0,0.09
ASIANPAINT,Mar 2016,323,6429,96.0,0.05
ASIANPAINT,Mar 2017,560,7508,96.0,0.07
ASIANPAINT,Mar 2018,533,8314,96.0,0.06
ASIANPAINT,Mar 2019,1320,9375,96.0,0.14
