company_id,year,sales,operating_profit,net_profit,opm_percentage,eps,net_profit_margin,operating_margin,eps_growth,profit_growth
ABB,Dec 2012,1653,202.0,145,12.0,68.0,8.77,12.22,,
ABB,Mar 2014,2276,267.0,198,12.0,93.0,8.7,11.73,36.76,36.55
ABB,Mar 2015,2289,312.0,229,14.0,108.0,10.0,13.63,16.13,15.66
ABB,Mar 2016,2614,365.0,255,14.0,120.0,9.76,13.96,11.11,11.35
ABB,Mar 2017,2903,398.0,277,14.0,130.0,9.54,13.71,8.33,8.63
ABB,Mar 2018,3298,525.0,401,16.0,189.0,12.16,15.92,45.38,44.77
ABB,Mar 2019,3679,605.0,450,16.0,212.0,12.23,16.44,12.17,12.22
ABB,Mar 2020,4093,757.0,593,18.0,279.0,14.49,18.49,31.6,31.78
ABB,Mar 2021,4310,922.0,691,21.0,325.0,16.03,21.39,16.49,16.53
ABB,Mar 2022,4913,1082.0,799,22.0,376.0,16.26,22.02,15.69,15.63
ABB,Mar 2023,5349,1206.0,949,23.0,447.0,17.74,22.55,18.88,18.77
ABB,Mar 2024,5849,1453.0,1201,25.0,565.0,20.53,24.84,26.4,26.55
ABB,TTM,6066,1547.0,1285,26.0,605.0,21.18,25.5,7.08,6.99
ADANIENSOL,Mar 2014,0,0.0,0,,0.0,,,,
ADANIENSOL,Mar 2015,131,101.0,-7,78.0,0.0,-5.34,77.1,,-inf
ADANIENSOL,Mar 2016,2194,1927.0,368,88.0,3.0,16.77,87.83,inf,-5357.14
ADANIENSOL,Mar 2017,2876,1983.0,416,69.0,4.0,14.46,68.95,33.33,13.04
ADANIENSOL,Mar 2018,3944,2826.0,1143,72.0,10.0,28.98,71.65,150.0,174.76
ADANIENSOL,Mar 2019,7305,2778.0,559,38.0,5.0,7.65,38.03,-50.0,-51.09
ADANIENSOL,Mar 2020,11416,4258.0,706,37.0,7.0,6.18,37.3,40.0,26.3
ADANIENSOL,Mar 2021,9926,3950.0,1290,40.0,11.0,13.0,39.79,57.14,82.72
ADANIENSOL,Mar 2022,11258,4206.0,1236,37.0,11.0,10.98,37.36,0.0,-4.19
ADANIENSOL,Mar 2023,13293,4518.0,1281,34.0,11.0,9.64,33.99,0.0,3.64
ADANIENSOL,Mar 2024,16607,5711.0,1196,30.0,10.0,7.2,34.39,-9.09,-6.64
ADANIENSOL,TTM,22099,6592.0,589,,6.0,2.67,29.83,-40.0,-50.75
ADANIENT,Mar 2013,46375,6021.0,1218,13.0,15.0,2.63,12.98,,
ADANIENT,Mar 2014,54947,9383.0,2646,17.0,20.0,4.82,17.08,33.33,117.24
ADANIENT,Mar 2015,64465,12450.0,2298,19.0,18.0,3.56,19.31,-10.0,-13.15
ADANIENT,Mar 2016,34008,1684.0,1000,5.0,9.0,2.94,4.95,-50.0,-56.48
ADANIENT,Mar 2017,36533,1902.0,925,5.0,9.0,2.53,5.21,0.0,-7.5
ADANIENT,Mar 2018,35924,2038.0,594,6.0,7.0,1.65,5.67,-22.22,-35.78
ADANIENT,Mar 2019,40379,1969.0,506,5.0,7.0,1.25,4.88,0.0,-14.81
ADANIENT,Mar 2020,43403,2294.0,1040,5.0,10.0,2.4,5.29,42.86,105.53
ADANIENT,Mar 2021,39537,2506.0,1046,6.0,8.0,2.65,6.34,-20.0,0.58
ADANIENT,Mar 2022,69420,3714.0,788,5.0,7.0,1.14,5.35,-12.5,-24.67
ADANIENT,Mar 2023,127540,8818.0,2422,7.0,22.0,1.9,6.91,214.29,207.36
ADANIENT,Mar 2024,96421,11377.0,3335,12.0,28.0,3.46,11.8,27.27,37.7
ADANIENT,TTM,102311,13893.0,6086,14.0,49.0,5.95,13.58,75.0,82.49
ADANIGREEN,Mar 2017,502,403.0,-47,80.0,0.0,-9.36,80.28,,
ADANIGREEN,Mar 2018,1480,843.0,-138,57.0,-1.0,-9.32,56.96,-inf,193.62
ADANIGREEN,Mar 2019,2058,1526.0,-475,74.0,-3.0,-23.08,74.15,200.0,244.2
ADANIGREEN,Mar 2020,2549,1450.0,-68,57.0,0.0,-2.67,56.89,-100.0,-85.68
ADANIGREEN,Mar 2021,3124,2241.0,182,72.0,1.0,5.83,71.73,inf,-367.65
ADANIGREEN,Mar 2022,5133,3512.0,489,68.0,3.0,9.53,68.42,200.0,168.68
ADANIGREEN,Mar 2023,7776,4970.0,973,64.0,6.0,12.51,63.91,100.0,98.98
ADANIGREEN,Mar 2024,9220,7318.0,1260,79.0,7.0,13.67,79.37,16.67,29.5
ADANIGREEN,TTM,10782,8100.0,1928,75.0,9.0,17.88,75.13,28.57,53.02
ADANIPORTS,Mar 2013,3577,2382.0,1639,67.0,8.0,45.82,66.59,,
ADANIPORTS,Mar 2014,4830,2919.0,1741,60.0,8.0,36.05,60.43,0.0,6.22
